"name_who","name_chinese","name_english"
"BL-5","五處","Fifth Position"
"BL-6","承光","Receiving Light"
"BL-7","通天","Unhindered Heaven"
"BL-8","絡卻","Receding Yoke"
"BL-9","玉枕","Jade Pillow"
"BL-10","天柱","Heaven's Pillar"
"BL-11","大杼","Many Shuttles"
"BL-12","風門","Wind Gate"
"BL-13","肺兪","Lung Increase"
"BL-14","厥陰兪","Body Yin Increase"
"BL-15","心兪","Heart Increase"
"BL-16","督兪","Supervision Increase"
"BL-17","膈兪","Diaphragm Increase"
"BL-18","肝兪","Liver Increase"
"BL-19","膽兪","Gallbladder Increase"
"BL-20","脾兪","Spleen Increase"
"BL-21","胃兪","Stomach Increase"
"BL-22","三焦兪","Triple Burner Increase"
"BL-23","腎兪","Kidney Increase"
"BL-24","氣海兪","Sea of Qi Increase"
"BL-25","大腸兪","Large Intestine Increase"
"BL-26","關元兪","Bar's Beginning Increase"
"BL-27","小腸兪","Small Intestine Increase"
"BL-28","膀胱兪","Bladder Increase"
"BL-29","中膂兪","Middle Spine Muscles Increase"
"BL-30","白環兪","White Ring Increase"
"BL-31","上髎","Upper Bone Notch"
"BL-32","次髎","Second Bone Notch"
"BL-33","中髎","Middle Bone Notch"
"BL-34","下髎","Lower Bone Notch"
"BL-35","會陽","Meeting of Yangs"
"BL-36","承扶","Receiving Help"
"BL-37","殷門","Prosperity Gate"
"BL-38","浮郄","Floating Gap"
"BL-39","委陽","Yield to Yang"
"BL-40","委中","Yield to Within"
"BL-41","附分","Connecting the Segments"
"BL-42","魄戶","Door to the Corporeal"
"BL-43","膏肓","Heavy Breathing"
"BL-44","神堂","Hall of Consciousness"
"BL-45","譩譆","Cry"
"BL-46","膈關","Diaphragm Barrier"
"BL-47","魂門","Hun Gate"
"BL-48","陽綱","Yang Headrope"
"BL-49","意舍","Dwelling of Thought"
"BL-50","胃倉","Stomach Granary"
"BL-51","肓門","Breathing Gate"
"BL-52","志室","Chamber of Will"
"BL-53","胞肓","Womb Breathing"
"BL-54","秩邊","Edge of the Sides"
"BL-55","合陽","Junction of Yang"
"BL-56","承筋","Supporting Muscles"
"BL-57","承山","Supporting the Mountain"
"BL-58","飛陽","Scattered Yang"
"BL-59","跗陽","Calyx Yang"
"BL-60","昆侖","Kunlun Mountains"
"BL-61","僕參","Group Participation"
"BL-62","申脈","Extended Vessel"
"BL-63","金門","Golden Gate"
"BL-64","京骨","Fear Bone"
"BL-65","束骨","Bundle of Bones"
"BL-66","足通谷","Walking Through the Valley"
"BL-67","至陰","Most Yin"
"KI-1","涌泉","Bubbling Spring"
"KI-2","然谷","Burning Valley"
"KI-3","太谿","Largest Valley Stream"
"KI-4","大鐘","Big Bell"
"KI-5","水泉","Water Spring"
"KI-6","照海","Shining Sea"
"KI-7","復溜","Restoring the Trickle"
"KI-8","交信","Mutual Trust"
"KI-9","築賓","Construction Guide"
"KI-10","陰谷","Yin Valley"
"KI-11","横骨","Pubic Bone"
"KI-12","大赫","Great Vitality"
"KI-13","氣穴","Qi Point"
"KI-14","四滿","Four Fullnesses"
"KI-15","中注","Pour into the Center"
"KI-16","肓兪","Breathing Increase"
"KI-17","商曲","Crooked Exchanges"
"KI-18","石關","Stone Barrier"
"KI-19","陰都","Yin City"
"KI-20","腹通谷","On the Belly Through the Valley"
"KI-21","幽門","Gate to Darkness"
"KI-22","步廊","Walking Corridor"
"KI-23","神封","Blocked Heart"
"KI-24","靈墟","Spiritual Wasteland"
"KI-25","神藏","Container of the Mind"
"KI-26","彧中","Inner Refinement"
"KI-27","兪府","Increase of Authority"
"P-1","天池","Heavenly Pond"
"P-2","天泉","Heavenly Spring"
"P-3","曲澤","Marsh at the Bend"
"P-4","郄門","Gate Ajar"
"P-5","間使","Using the Space"
"P-6","內關","Barrier Gate to the Inside"
"P-7","大陵","Much Abuse"
"P-8","勞宮","Working in the Palace"
"P-9","中衝","Thoroughfare in the Middle"
"TB-1","關衝","Through the Barrier Gate"
"TB-2","液門","Juices Gate"
"TB-3","中渚","Between the Sandbars"
"TB-4","陽池","Yang Pond"
"TB-5","外關","Barrier Gate to the Outside"
"TB-6","支溝","Limb's Ditch"
"TB-7","會宗","Clan Meeting"
"TB-8","三陽絡","Triple Yang Twist"
"TB-9","四瀆","Fourth Ditch"
"TB-10","天井","Heavenly Well"
"TB-11","清冷淵","Clear Cold Depths"
"TB-12","消濼","Thawing Lake"
"TB-13","臑會","Upper Arm Junction"
"TB-14","肩髎","Shoulder Bones Notch"
"TB-15","天髎","Heavenly Bone Notch"
"TB-16","天牖","Lattice Window to Heaven"
"TB-17","翳風","Wind Screen"
"TB-18","瘈脈","Spasm Bloodvessel"
"TB-19","顱息","Quieting the Head"
"TB-20","角孫","Following the Angle"
"TB-21","耳門","Ear Opening"
"TB-22","耳和髎","Attuned Listening Bone Notch"
"TB-23","絲竹空","Bamboo Hairs Cavity"
"GB-1","瞳子髎","Pupil Bone Notch"
"GB-2","聽會","Listening to the Group"
"GB-3","上關","Above the Joint"
"GB-4","頷厭","Clenched Jaws"
"GB-5","懸顱","Hanging from the Forehead"
"GB-6","懸厘","Hanging Little Bit"
"GB-7","曲鬢","Curve of the Hair on the Temples"
"GB-8","率谷","Follow the Valley"
"GB-9","天沖","Heavenly Infusion"
"GB-10","浮白","Purity Rising to the Surface"
"GB-11","頭竅陰","Yin Openings Head Point"
"GB-12","完骨","Entire Bone"
"GB-13","本神","Mind's Root"
"GB-14","陽白","Yang Purity"
"GB-15","頭臨泣","Near to Tears in the Hair"
"GB-16","目窗","See through the Window"
"GB-17","正營","Upright Conduct"
"GB-18","承靈","Informed by the Spirit"
"GB-19","腦空","Brain Hollow"
"GB-20","風池","Windy Pond"
"GB-21","肩井","Shoulder Well"
"GB-22","淵腋","Abyss Under the Armpit"
"GB-23","輒筋","Flank Muscles"
"GB-24","日月","Daytime Moon"
"GB-25","京門","Gate of Fear"
"GB-26","帶脈","Girdle Vessel"
"GB-27","五樞","Five Pivots"
"GB-28","維道","Holding the Path"
"GB-29","居髎","Squatting Bone Notch"
"GB-30","環跳","Jumping Around"
"GB-31","風市","Windy Market"
"GB-32","中瀆","Middle of the Ditch"
"GB-33","膝陽關","Knee Yang Joint"
"GB-34","陽陵泉","Yang Mound Spring"
"GB-35","陽交","Yang in Interaction"
"GB-36","外丘","Outside of the Mound"
"GB-37","光明","Bright Sunlight"
"GB-38","陽輔","Yang Bars"
"GB-39","懸鐘","Hanging Bell"
"GB-40","丘墟","Mound in the Wilderness"
"GB-41","足臨泣","Near to Tears on the Foot"
"GB-42","地五會","Five Meeting on the Ground"
"GB-43","俠谿","Valley Creek Going as it Likes"
"GB-44","足竅陰","Yin Openings Foot Point"
"LIV-1","大敦","Big Vessel"
"LIV-2","行間","Walking Pause"
"LIV-3","太沖","Largest Infusion"
"LIV-4","中封","Between the Dikes"
"LIV-5","蠡溝","Woodworm Canal"
"LIV-6","中都","Between the Cities"
"LIV-7","膝關","Knee Joint"
"LIV-8","曲泉","Spring at the Bend"
"LIV-9","陰包","Yin Wrapping"
"LIV-10","足五里","Leg's Five Quarter Miles"
"LIV-11","陰廉","Yin Corner"
"LIV-12","急脈","Hasty Pulse"
"LIV-13","章門","Chapter Gate"
"LIV-14","期門","Gate of Hope"
"REN-1","會陰","Meeting of Yin"
"REN-2","曲骨","Curved Bone"
"REN-3","中極","Balanced Fully"
"REN-4","關原","Primary Barrier Gate"
"REN-5","石門","Stone Gate"
"REN-6","氣海","Sea of Qi"
"REN-7","陰交","Yin in Interaction"
"REN-8","神闕","Loss of Consciousness"
"REN-9","水分","Fluid Distinguishing"
"REN-10","下脘","Lower Inside of the Stomach"
"REN-11","建里","Establishing a Village"
"REN-12","中脘","Middle Inside of the Stomach"
"REN-13","上脘","Upper Inside of the Stomach"
"REN-14","巨闕","Big Loss"
"REN-15","鳩尾","Dove Tail"
"REN-16","中庭","Middle of the Courtyard"
"REN-17","膻中","Center of the Chest"
"REN-18","玉堂","Jade Hall"
"REN-19","紫宮","Purple Palace"
"REN-20","華蓋","Flower Canopy"
"REN-21","璇璣","Pivot of Fine Jade"
"REN-22","天突","Heaven's Chimney"
"REN-23","廉泉","Corner Spring"
"REN-24","承漿","Fluid Receptacle"
"DU-1","長強","Continuously Strong"
"DU-2","腰兪","Loins Increase"
"DU-3","腰陽關","Waist's Yang Bar"
"DU-4","命門","Gate of Destiny"
"DU-5","懸樞","Suspended Pivot"
"DU-6","脊中","Halfway the Spine"
"DU-7","中樞","Middle Pivot"
"DU-8","筋縮","Muscle Contractions"
"DU-9","至陽","Most Yang"
"DU-10","靈臺","Spirit Tower"
"DU-11","神道","Path of the Heart"
"DU-12","身柱","Body Pillar"
"DU-13","陶道","Pleasant Path"
"DU-14","大椎","Big Vertebra"
"DU-15","瘂門","Muteness Gate"
"DU-16","風府","Scattered Authority"
"DU-17","腦戶","Brain's Door"
"DU-18","強間","Pausing for Strength"
"DU-19","後頂","Behind the Top of the Head"
"DU-20","百會","Hundreds of Realizations"
"DU-21","前頂","In Front of the Top of the Head"
"DU-22","囟會","Fontanelle Junction"
"DU-23","上星","Stars Above"
"DU-24","神庭","Courtyard of the Mind"
"DU-25","素髎","White Bone Notch"
"DU-26","水溝","Water Trough"
"DU-27","兌端","Passing Over the Tip"
"DU-28","齦交","Gum Junction"
"EX-HN-1","四神聰","Four Mind Brighteners"
"EX-HN-2","當陽","Facing Yang"
"EX-HN-3","印堂","Impression Hall"
"EX-HN-4","魚腰","Fish's Waist"
"EX-HN-5","太陽","Largest Yang"
"EX-HN-6","耳尖","Tip of the Ear"
"EX-HN-7","球後","Behind the Ball"
"EX-HN-8","鼻通","Clear the Nose"
"EX-HN-9","內迎香","Inside of Welcoming Fragrance"
"EX-HN-10","聚泉","Group of Springs"
"EX-HN-11","海泉","Sea Fountain"
"EX-HN-12","金津","Golden Juice"
"EX-HN-13","玉液","Jade Secretion"
"EX-HN-14","翳明","Clearing Dim Vision"
"EX-HN-15","頸百勞","Neck's Hundreds of Troubles"
"EX-BW-1","定喘","Stabilize Hard Breathing"
"EX-BW-2","華佗夾脊","Other Flowers at Both Sides of the Spine"
"EX-BW-3","胃脘下兪","Lower Part of the Stomach Pipe Increase"
"EX-BW-4","痞根","The Root of Constipation"
"EX-BW-5","下志室","Underneath Chamber of Will"
"EX-BW-6","患門","Gate of Suffering"
"EX-BW-7","腰眼","Waist Socket"
"EX-BW-8","十七椎下","Under the 17th Vertebra"
"EX-BW-9","腰奇","Miraculous Rear End"
"EX-CA-1","子宫","Child's Palace"
"EX-UE-1","肘尖","Tip of the Elbow"
"EX-UE-2","二白","Two Whites"
"EX-UE-3","中泉","Middle Spring"
"EX-UE-4","中魁","Intermediate Boss"
"EX-UE-5","大骨空","Big Bone Opening"
"EX-UE-6","小骨空","Small Bone Opening"
"EX-UE-7","腰痛穴","Aching Waist Point"
"EX-UE-8","外勞宮","Outside of Palace Work"
"EX-UE-9","八邪","Eight Abnormalities"
"EX-UE-10","四縫","Four Seams"
"EX-UE-11","十宣","Ten Proclamations"
"EX-LE-1","髖骨","Hip Bone"
"EX-LE-2","鶴頂","Top of the Crane's Head"
"EX-LE-3","百蟲窩","Nest with a Hundred Worms"
"EX-LE-4","內膝眼","Inner Knee's Eye"
"EX-LE-5","膝眼","Knee's Eyes"
"EX-LE-6","膽囊穴","Gallbladder Point"
"EX-LE-7","闌尾穴","Appendix Point"
"EX-LE-8","內踝尖","Tip of the Inner Anklebone"
"EX-LE-9","外踝尖","Tip of the Outer Anklebone"
"EX-LE-10","八風","Eight Winds"
"EX-LE-11","獨陰","Only Yin"
"EX-LE-12","氣端","Sprouting Qi"
"XX-HN-2","頰裏","Inside the Cheek"
"XX-HN-3","","Desire for Eating"
"XX-HN-4","","Listening"
"XX-HN-5","","Explaining"
"XX-HN-6","內地倉","Inside of Land's Granary"
"XX-HN-7","頰里","Cheek Village"
"XX-HN-8","唇里","Lip Village"
"XX-HN-9","懸命","Living Tether"
"XX-HN-10","上齶穴","Top of the Palate Point"
"XX-HN-11","安眠","Peaceful Sleep"
"XX-HN-12","夾承漿","Both Sides of Fluid Receptacle"
"XX-HN-13","","Listening Intently"
"XX-HN-14","","Situation Liking"
"XX-HN-15","津穴","Saliva Point"
"XX-HN-16","","On the Neck"
"XX-HN-17","","Body Examination"
"XX-HN-18","","Seeing the Situation"
"XX-HN-19","","Dulled"
"XX-HN-20","","Shocked Surprise"
"XX-HN-21","","Hatred"
"XX-HN-22","","Inside Body Liking"
"XX-HN-23","","Alerted to the Situation"
"XX-HN-24","","Adrenals"
"XX-HN-25","","Kidneys"
"XX-HN-26","","Sight Liking"
"XX-HN-27","","Sound Liking"
"XX-HN-28","","Touch Liking"
"XX-BW-1","","Unimportant"
"XX-BW-2","","Worrying at Night"
"XX-BW-3","","Understanding the Situation"
"XX-BW-4","","Thinking Shift"
"XX-BW-5","","Underneath Most Yang"
"XX-BW-7","","Underneath Diaphragm Barrier"
"XX-BW-8","","Thinking Focus"
"XX-BW-9","","Thinking Threat"
"XX-BW-11","下脊中","Underneath Halfway the Spine"
"XX-BW-12","分枝上","Connecting the Upper Branches"
"XX-BW-13","分枝下","Connecting the Lower Branches"
"XX-CA-1","","Scary Space"
"XX-CA-2","","Obeyance Motivation"
"XX-CA-3","","Back Edge of the Genitals"
"XX-CA-4","","Top Edge of the Genitals"
"XX-CA-5","","Below Center of the Chest"
"XX-CA-6","","Skin Surface"
"XX-CA-7","","Shocked"
"XX-CA-8","","Bottom Edge of the Genitals"
"XX-CA-9","","Center of the Perineum"
"XX-CA-10","","Unexpected Problem"
"XX-UE-1","","Focus on Liking"
"XX-UE-2","","Focus on Sensuality"
"XX-UE-3","","Sadness Supported"
"XX-UE-4","","Comforting"
"XX-UE-5","","Guilt"
"XX-UE-7","","Tip of the Thumb"
"XX-UE-8","","Victimized"
"XX-UE-9","","Tip of the Index Finger"
"XX-UE-10","","Tip of the Ring Finger"
"XX-UE-11","","Tip of the Pinky Finger"
"XX-UE-12","","Slipping out of the Hand"
"XX-UE-13","","Focus on Pressure"
"XX-UE-14","","Wrong"
"XX-UE-15","","Karate Chop"
"XX-UE-16","","Anger"
"XX-UE-17","","Humor"
"XX-UE-18","","Focus on Trustedness"
"XX-UE-19","","Focus on Correctness"
"XX-UE-20","","Focus on Ability"
"XX-UE-21","","Embarrassing Understanding"
"XX-UE-22","","Embarrassing Situation"
"XX-UE-23","","Active Embarrassment"
"XX-UE-24","","Embarrassed"
"XX-UE-25","","Focus on Thinking Ability"
"XX-UE-26","","Focus on Feeling"
"XX-UE-27","","Communicate Feelings"
"XX-UE-28","","Unknown Situation"
"XX-UE-29","","Accused"
"XX-UE-30","","Lake's Frozen Depths"
"XX-UE-31","","Looking Shocked"
"XX-UE-32","","Pain Point"
"XX-UE-33","","Face"
"XX-UE-34","","Tiredness"
"XX-UE-35","","Tiredness of the Head"
"XX-UE-36","","Tiredness of the Legs"
"XX-UE-37","","Blood Vessel Network"
"XX-UE-38","","Annoyance"
"XX-UE-39","","Expressing Annoyance"
"XX-UE-40","","Base of the Neck"
"XX-UE-41","","Top of the Neck"
"XX-UE-42","液門","Contact-less"
"XX-UE-43","","Defending from Accusation"
"XX-LE-1","","Orientation"
"XX-LE-2","","Night Vision"
"XX-LE-3","上瘤","Swelling Above"
"XX-LE-4","","Tip of the Small Toe"
"XX-LE-5","","Swift Upper Back"
"XX-LE-6","","Swift Muscles"
"XX-LE-7","","Poker Face"
"XX-LE-8","外血","Outer Blood"
"XX-LE-9","駟馬下穴","Lowest of the Four Horses Points"
"XX-LE-10","駟馬中穴","Four Horses Center Point"
"XX-LE-11","","Grounding"
"XX-LE-12","","Heel Grounding"
"XX-LE-13","","Grounding Big Toe"
"XX-LE-14","","Grounding Second Toe"
"XX-LE-15","","Grounding Third Toe"
"XX-LE-16","","Grounding Fourth Toe"
"XX-LE-17","","Grounding Small Toe"
"XX-LE-18","","Observing to Respond"
"XX-LE-19","","Acquiring Value"
"XX-LE-20","","Acquiring Value 2"
"XX-LE-21","","Acquiring Value 3"
"XX-LE-22","","Swift Front"
"XX-LE-23","內血","Inner Blood"
"XX-LE-24","","Correcting"
"XX-LE-25","駟馬上穴","Highest of the Four Horses Points"
"XX-LE-26","通關","Passing Through the Barrier Gate"
"XX-LE-27","通山","Penetrating the Mountain"
"XX-LE-28","通天","Penetrating Heaven"
"XX-LE-29","天血","Heaven's Blood"
"XX-LE-30","","Forced Action"
"XX-LE-31","","Receiving an Order"
"XX-LE-32","","Sudden Fear"
"XX-LE-33","","Ball of the Foot"
"XX-LE-34","","Moving Backward"
"XX-LE-35","","Criticised"
"XX-LE-36","","Group at a Distance"
"XX-LE-37","","Unexpected Danger"
"XX-LE-38","","Fixating Fear"
